scheme,payload_bits,total_bits,ratio_vs_4p25,expert_rel_err_pct,gemm_rel_err_pct,note,rel_mse_vs_fp4,rel_rmse_pct,sqnr_db,times_fp4_noise,weight_rel_err_pct
"[real expert] VQ dim 4, 1024 entries",2.5,2.75,0.6470588235294118,35.97785830497742,22.215113043785095,,,,,,22.241413
"[real expert] VQ dim 4, 1024 entries, E2M1-snapped",2.5,2.75,0.6470588235294118,38.6317253112793,23.67161363363266,,,,,,23.74223
"[real expert] VQ dim 4, 2048 entries",2.75,3.0,0.7058823529411765,30.066505074501038,18.44819337129593,,,,,,18.408646
"[real expert] VQ dim 4, 2048 entries, E2M1-snapped",2.75,3.0,0.7058823529411765,32.12839663028717,19.83282119035721,,,,,,19.78622
"[real expert] VQ dim 4, 4096 entries",3.0,3.25,0.7647058823529411,24.49864000082016,14.899007976055145,,,,,,14.902742
"[real expert] VQ dim 4, 4096 entries, E2M1-snapped",3.0,3.25,0.7647058823529411,26.768621802330017,16.299834847450256,,,,,,16.284357
"[real expert] VQ dim 4, 8192 entries",3.25,3.5,0.8235294117647058,18.9192533493042,11.486081033945084,,,,,,11.441055
"[real expert] VQ dim 4, 8192 entries, E2M1-snapped",3.25,3.5,0.8235294117647058,21.303193271160126,12.947757542133331,,,,,,12.913157
"[real expert] VQ dim 4, 16384 entries",3.5,3.75,0.8823529411764706,13.282535970211029,8.077757060527802,,,,,,8.058387
"[real expert] VQ dim 4, 16384 entries, E2M1-snapped",3.5,3.75,0.8823529411764706,15.401330590248108,9.339682757854462,,,,,,9.33387
"[real expert] VQ dim 4, 32768 entries",3.75,4.0,0.9411764705882353,7.123959064483643,4.305246099829674,,,,,,4.287694
"[real expert] VQ dim 4, 32768 entries, E2M1-snapped",3.75,4.0,0.9411764705882353,8.402252942323685,5.1025401800870895,,,,,,5.10828
[real expert] 2:4 structured sparsity (A100 mma.sp),3.0,3.25,0.7647058823529411,57.76383876800537,36.9630366563797,,,,,,36.858196
[real expert] scale block 32 -> 64 (4 bit payload),4.0,4.25,1.0,131.8343997001648,44.122183322906494,,,,,,45.184433
[real expert] scale block 32 -> 128 (4 bit payload),4.0,4.25,1.0,249.2429256439209,62.233442068099976,,,,,,62.9364
